forecast_start,actual_t+0,predicted_t+0,actual_t+1,predicted_t+1,actual_t+2,predicted_t+2,actual_t+3,predicted_t+3,actual_t+4,predicted_t+4,actual_t+5,predicted_t+5,actual_t+6,predicted_t+6,actual_t+7,predicted_t+7,actual_t+8,predicted_t+8,actual_t+9,predicted_t+9,actual_t+10,predicted_t+10,actual_t+11,predicted_t+11,actual_t+12,predicted_t+12,actual_t+13,predicted_t+13,actual_t+14,predicted_t+14,actual_t+15,predicted_t+15,actual_t+16,predicted_t+16,actual_t+17,predicted_t+17,actual_t+18,predicted_t+18,actual_t+19,predicted_t+19,actual_t+20,predicted_t+20,actual_t+21,predicted_t+21,actual_t+22,predicted_t+22,actual_t+23,predicted_t+23,actual_t+24,predicted_t+24,actual_t+25,predicted_t+25,actual_t+26,predicted_t+26,actual_t+27,predicted_t+27,actual_t+28,predicted_t+28,actual_t+29,predicted_t+29,actual_t+30,predicted_t+30,actual_t+31,predicted_t+31,actual_t+32,predicted_t+32,actual_t+33,predicted_t+33,actual_t+34,predicted_t+34,actual_t+35,predicted_t+35,actual_t+36,predicted_t+36,actual_t+37,predicted_t+37,actual_t+38,predicted_t+38,actual_t+39,predicted_t+39,actual_t+40,predicted_t+40,actual_t+41,predicted_t+41,actual_t+42,predicted_t+42,actual_t+43,predicted_t+43,actual_t+44,predicted_t+44,actual_t+45,predicted_t+45,actual_t+46,predicted_t+46,actual_t+47,predicted_t+47,actual_t+48,predicted_t+48,actual_t+49,predicted_t+49,actual_t+50,predicted_t+50,actual_t+51,predicted_t+51,actual_t+52,predicted_t+52,actual_t+53,predicted_t+53,actual_t+54,predicted_t+54,actual_t+55,predicted_t+55,actual_t+56,predicted_t+56,actual_t+57,predicted_t+57,actual_t+58,predicted_t+58,actual_t+59,predicted_t+59,actual_t+60,predicted_t+60,actual_t+61,predicted_t+61,actual_t+62,predicted_t+62,actual_t+63,predicted_t+63,actual_t+64,predicted_t+64
2026-04-27 01:02:00,372.0787307308322,371.552,369.58425214994367,371.57648,369.4426135020833,369.69724,366.627743410105,368.45673,366.019946206156,367.86618,365.15590651152814,367.87924,365.5315900392743,367.0803,364.73306297307494,368.05258,367.76246622004624,368.03058,372.0070403717514,367.54944,376.81139570407095,370.37955,375.4484273898597,372.72916,377.1509861984518,373.24377,362.4237518972482,372.8711,338.792697281161,372.78342,336.60989824571476,370.0217,330.2937530504889,361.75647,323.06930375110375,358.43115,319.1902433455994,356.92764,322.6933148943203,353.8488,324.5328856896503,350.32254,329.47627412431433,349.91962,333.81009759589983,349.6762,333.1845902925025,347.29456,320.22070304921476,347.0274,300.54563111060247,347.1281,294.1314594780469,341.78482,277.71916108597884,334.87936,261.5107934625131,327.49612,263.5501300726478,316.82053,266.6932972980862,309.81653,266.15659342493683,308.82867,264.9296958139227,311.1161,266.67656861606775,308.97955,264.02662288390485,306.4146,266.39494087911703,304.6561,265.31648934392825,302.73087,266.49289708669653,301.38126,266.0660303852583,298.65457,263.6789669596232,294.32898,262.4561576526279,293.03845,263.53162409135865,290.3788,270.76456252756157,287.574,277.9166877655005,285.9464,286.6489396160105,287.58728,289.9547740410298,287.94308,297.31902939816086,290.74265,316.89505268059247,294.96494,315.25147194274996,297.23877,325.94435642469233,303.20325,337.34387235353876,306.3892,330.4302885813018,309.27148,333.6917790692951,314.01038,334.06504229841204,315.29,331.41711778655963,318.5014,326.4716374509367,321.99188,324.99433577801466,324.44662,320.3926560991294,325.20886,319.6754515052409,326.66107,329.957321277949,325.81094,337.5597316163674,325.28012,356.8646896871544,328.10443,362.52350162065983,331.13745,366.8128305237799,337.8347,359.9926946614043,344.4136
2026-04-27 01:21:00,369.58425214994367,370.77225,369.4426135020833,368.94702,366.627743410105,367.6669,366.019946206156,368.3987,365.15590651152814,368.23468,365.5315900392743,368.22858,364.73306297307494,367.8284,367.76246622004624,369.17996,372.0070403717514,368.55264,376.81139570407095,367.71396,375.4484273898597,370.65143,377.1509861984518,371.06348,362.4237518972482,372.39835,338.792697281161,373.53543,336.60989824571476,375.0187,330.2937530504889,372.74295,323.06930375110375,365.90778,319.1902433455994,364.3557,322.6933148943203,363.10303,324.5328856896503,361.1266,329.47627412431433,357.80923,333.81009759589983,355.91507,333.1845902925025,353.92154,320.22070304921476,349.72806,300.54563111060247,349.28265,294.1314594780469,347.52435,277.71916108597884,342.52762,261.5107934625131,336.7083,263.5501300726478,330.9063,266.6932972980862,323.3117,266.15659342493683,316.22617,264.9296958139227,312.7792,266.67656861606775,314.14114,264.02662288390485,312.4772,266.39494087911703,309.09866,265.31648934392825,306.2406,266.49289708669653,304.12515,266.0660303852583,303.60275,263.6789669596232,301.31342,262.4561576526279,297.82977,263.53162409135865,296.75858,270.76456252756157,295.4804,277.9166877655005,295.09653,286.6489396160105,295.1284,289.9547740410298,295.53708,297.31902939816086,296.81494,316.89505268059247,300.80072,315.25147194274996,304.60297,325.94435642469233,307.94458,337.34387235353876,312.10797,330.4302885813018,314.04474,333.6917790692951,314.91904,334.06504229841204,317.379,331.41711778655963,319.56802,326.4716374509367,320.99304,324.99433577801466,323.8043,320.3926560991294,326.31775,319.6754515052409,325.6649,329.957321277949,328.35706,337.5597316163674,329.58005,356.8646896871544,330.82068,362.52350162065983,332.79742,366.8128305237799,335.56033,359.9926946614043,342.61475,359.48721403092253,349.027
2026-04-27 01:41:00,369.4426135020833,368.51584,366.627743410105,367.29846,366.019946206156,366.32202,365.15590651152814,365.85715,365.5315900392743,365.9264,364.73306297307494,366.00693,367.76246622004624,365.5042,372.0070403717514,367.0637,376.81139570407095,366.98825,375.4484273898597,367.5825,377.1509861984518,370.0041,362.4237518972482,369.41495,338.792697281161,369.66498,336.60989824571476,371.07043,330.2937530504889,372.09018,323.06930375110375,371.17535,319.1902433455994,365.92313,322.6933148943203,362.37866,324.5328856896503,359.93185,329.47627412431433,355.8102,333.81009759589983,352.35956,333.1845902925025,350.76157,320.22070304921476,346.89542,300.54563111060247,342.5427,294.1314594780469,343.13336,277.71916108597884,341.28717,261.5107934625131,336.44385,263.5501300726478,330.68127,266.6932972980862,326.16504,266.15659342493683,317.2772,264.9296958139227,309.75665,266.67656861606775,307.7669,264.02662288390485,307.13058,266.39494087911703,303.0656,265.31648934392825,299.58286,266.49289708669653,297.05692,266.0660303852583,292.60602,263.6789669596232,290.32956,262.4561576526279,288.15836,263.53162409135865,286.74338,270.76456252756157,288.0207,277.9166877655005,290.42603,286.6489396160105,293.33133,289.9547740410298,294.55203,297.31902939816086,296.6318,316.89505268059247,300.23285,315.25147194274996,303.5389,325.94435642469233,308.3183,337.34387235353876,312.14975,330.4302885813018,314.83453,333.6917790692951,314.48212,334.06504229841204,313.8681,331.41711778655963,317.31726,326.4716374509367,319.8071,324.99433577801466,321.5471,320.3926560991294,324.95453,319.6754515052409,326.41544,329.957321277949,326.77963,337.5597316163674,330.0495,356.8646896871544,332.3263,362.52350162065983,332.84265,366.8128305237799,333.84637,359.9926946614043,336.89926,359.48721403092253,344.9547,357.5189092066583,350.3041
2026-04-27 01:58:00,366.627743410105,368.3564,366.019946206156,368.46497,365.15590651152814,368.13538,365.5315900392743,368.3912,364.73306297307494,368.55106,367.76246622004624,368.21982,372.0070403717514,367.7564,376.81139570407095,369.43457,375.4484273898597,368.9643,377.1509861984518,367.87894,362.4237518972482,368.7298,338.792697281161,369.06433,336.60989824571476,368.88806,330.2937530504889,370.10843,323.06930375110375,370.79565,319.1902433455994,369.73257,322.6933148943203,365.89175,324.5328856896503,362.3698,329.47627412431433,358.984,333.81009759589983,354.6049,333.1845902925025,352.37167,320.22070304921476,349.93796,300.54563111060247,347.6708,294.1314594780469,343.37894,277.71916108597884,344.13522,261.5107934625131,343.2497,263.5501300726478,339.09125,266.6932972980862,333.5356,266.15659342493683,328.36984,264.9296958139227,320.14325,266.67656861606775,313.07767,264.02662288390485,311.88007,266.39494087911703,312.10474,265.31648934392825,307.93063,266.49289708669653,306.61313,266.0660303852583,302.67923,263.6789669596232,300.03296,262.4561576526279,299.52402,263.53162409135865,298.14807,270.76456252756157,296.13257,277.9166877655005,296.492,286.6489396160105,296.11234,289.9547740410298,298.64282,297.31902939816086,300.21713,316.89505268059247,301.73605,315.25147194274996,304.36963,325.94435642469233,309.62692,337.34387235353876,313.5189,330.4302885813018,316.9079,333.6917790692951,317.67975,334.06504229841204,317.61438,331.41711778655963,319.00546,326.4716374509367,323.44315,324.99433577801466,326.81784,320.3926560991294,328.11765,319.6754515052409,329.51883,329.957321277949,330.41946,337.5597316163674,331.3099,356.8646896871544,334.1165,362.52350162065983,334.56094,366.8128305237799,335.33307,359.9926946614043,336.6478,359.48721403092253,339.75153,357.5189092066583,346.71234,359.56720892332993,352.3082
2026-04-27 02:21:00,366.019946206156,367.2424,365.15590651152814,367.36905,365.5315900392743,366.47412,364.73306297307494,367.84732,367.76246622004624,368.55435,372.0070403717514,368.556,376.81139570407095,367.97327,375.4484273898597,368.50623,377.1509861984518,367.67773,362.4237518972482,366.62848,338.792697281161,366.73303,336.60989824571476,368.01404,330.2937530504889,368.02225,323.06930375110375,370.3929,319.1902433455994,369.30014,322.6933148943203,367.438,324.5328856896503,363.04105,329.47627412431433,357.77682,333.81009759589983,355.1351,333.1845902925025,351.38522,320.22070304921476,348.79968,300.54563111060247,348.44904,294.1314594780469,345.231,277.71916108597884,341.85242,261.5107934625131,339.13367,263.5501300726478,338.28964,266.6932972980862,333.43674,266.15659342493683,328.33994,264.9296958139227,323.16904,266.67656861606775,318.05673,264.02662288390485,311.17285,266.39494087911703,308.99554,265.31648934392825,307.40942,266.49289708669653,304.45657,266.0660303852583,301.79504,263.6789669596232,298.2558,262.4561576526279,296.94406,263.53162409135865,294.578,270.76456252756157,292.24695,277.9166877655005,290.60928,286.6489396160105,289.79492,289.9547740410298,289.56323,297.31902939816086,292.47012,316.89505268059247,294.77496,315.25147194274996,297.68314,325.94435642469233,300.1303,337.34387235353876,304.46255,330.4302885813018,308.1856,333.6917790692951,310.41324,334.06504229841204,311.5144,331.41711778655963,315.00143,326.4716374509367,316.5957,324.99433577801466,321.19122,320.3926560991294,325.0547,319.6754515052409,326.28647,329.957321277949,327.61526,337.5597316163674,328.67108,356.8646896871544,330.96677,362.52350162065983,334.1589,366.8128305237799,335.2409,359.9926946614043,336.1806,359.48721403092253,337.98297,357.5189092066583,340.9621,359.56720892332993,347.53333,356.18302481782683,351.51434
2026-04-27 02:43:00,365.15590651152814,365.51294,365.5315900392743,366.06058,364.73306297307494,365.4231,367.76246622004624,366.14328,372.0070403717514,366.79288,376.81139570407095,367.26877,375.4484273898597,367.61737,377.1509861984518,366.60138,362.4237518972482,366.83212,338.792697281161,366.5197,336.60989824571476,366.3403,330.2937530504889,366.80878,323.06930375110375,366.68237,319.1902433455994,368.20728,322.6933148943203,367.16116,324.5328856896503,366.30142,329.47627412431433,359.94473,333.81009759589983,356.75607,333.1845902925025,355.65802,320.22070304921476,352.80002,300.54563111060247,351.49533,294.1314594780469,349.85995,277.71916108597884,346.51837,261.5107934625131,344.11154,263.5501300726478,341.5869,266.6932972980862,340.16348,266.15659342493683,335.34637,264.9296958139227,330.25705,266.67656861606775,326.26266,264.02662288390485,320.7464,266.39494087911703,313.5032,265.31648934392825,311.66745,266.49289708669653,311.80978,266.0660303852583,307.54373,263.6789669596232,304.223,262.4561576526279,302.88855,263.53162409135865,299.6156,270.76456252756157,299.1874,277.9166877655005,300.55075,286.6489396160105,300.3495,289.9547740410298,300.09702,297.31902939816086,301.75244,316.89505268059247,304.9833,315.25147194274996,306.88852,325.94435642469233,309.45355,337.34387235353876,313.4851,330.4302885813018,317.5214,333.6917790692951,320.7834,334.06504229841204,321.44467,331.41711778655963,322.29507,326.4716374509367,324.34402,324.99433577801466,326.0653,320.3926560991294,330.61218,319.6754515052409,332.95203,329.957321277949,333.9101,337.5597316163674,334.94516,356.8646896871544,336.21356,362.52350162065983,337.73477,366.8128305237799,338.89706,359.9926946614043,339.62106,359.48721403092253,341.1632,357.5189092066583,344.48944,359.56720892332993,345.63962,356.18302481782683,349.98706,355.8804943201585,354.6475
2026-04-27 03:07:00,365.5315900392743,364.68555,364.73306297307494,364.89532,367.76246622004624,364.6069,372.0070403717514,364.67862,376.81139570407095,365.26443,375.4484273898597,364.43597,377.1509861984518,364.55402,362.4237518972482,363.48428,338.792697281161,364.25003,336.60989824571476,363.34488,330.2937530504889,364.34406,323.06930375110375,363.98117,319.1902433455994,364.45428,322.6933148943203,363.8172,324.5328856896503,362.1291,329.47627412431433,361.44257,333.81009759589983,357.66885,333.1845902925025,356.6246,320.22070304921476,354.1284,300.54563111060247,352.09137,294.1314594780469,350.06842,277.71916108597884,349.12247,261.5107934625131,346.93826,263.5501300726478,343.537,266.6932972980862,340.32553,266.15659342493683,336.21545,264.9296958139227,331.9097,266.67656861606775,328.6218,264.02662288390485,323.6538,266.39494087911703,319.62302,265.31648934392825,314.81146,266.49289708669653,312.7308,266.0660303852583,311.51816,263.6789669596232,307.95053,262.4561576526279,307.21375,263.53162409135865,306.5305,270.76456252756157,306.5375,277.9166877655005,307.4453,286.6489396160105,308.7972,289.9547740410298,308.5016,297.31902939816086,310.04892,316.89505268059247,310.65753,315.25147194274996,310.70413,325.94435642469233,310.5084,337.34387235353876,311.90668,330.4302885813018,314.38272,333.6917790692951,315.11798,334.06504229841204,315.33908,331.41711778655963,316.6109,326.4716374509367,317.99774,324.99433577801466,321.74097,320.3926560991294,324.47015,319.6754515052409,328.9943,329.957321277949,331.56436,337.5597316163674,332.2119,356.8646896871544,334.15417,362.52350162065983,334.31546,366.8128305237799,334.41437,359.9926946614043,337.17307,359.48721403092253,337.27274,357.5189092066583,339.0745,359.56720892332993,342.0164,356.18302481782683,345.3559,355.8804943201585,348.82706,360.63203558759136,352.31512
2026-04-27 03:32:00,364.73306297307494,365.4156,367.76246622004624,367.03073,372.0070403717514,366.93732,376.81139570407095,368.62573,375.4484273898597,369.10486,377.1509861984518,369.5093,362.4237518972482,368.24365,338.792697281161,367.89636,336.60989824571476,369.07166,330.2937530504889,367.95404,323.06930375110375,368.67664,319.1902433455994,367.95477,322.6933148943203,368.29398,324.5328856896503,369.47122,329.47627412431433,367.3866,333.81009759589983,364.8418,333.1845902925025,362.03598,320.22070304921476,356.80786,300.54563111060247,355.71454,294.1314594780469,353.3975,277.71916108597884,351.5767,261.5107934625131,349.37222,263.5501300726478,347.5036,266.6932972980862,345.1305,266.15659342493683,340.9864,264.9296958139227,337.75537,266.67656861606775,334.43765,264.02662288390485,330.78607,266.39494087911703,326.19244,265.31648934392825,319.37863,266.49289708669653,314.94894,266.0660303852583,312.4456,263.6789669596232,308.81104,262.4561576526279,306.52966,263.53162409135865,306.26813,270.76456252756157,306.9079,277.9166877655005,307.65277,286.6489396160105,307.48636,289.9547740410298,309.9992,297.31902939816086,310.1983,316.89505268059247,310.78824,315.25147194274996,312.00916,325.94435642469233,314.31613,337.34387235353876,315.24545,330.4302885813018,316.69702,333.6917790692951,319.3476,334.06504229841204,318.31567,331.41711778655963,319.8238,326.4716374509367,321.60223,324.99433577801466,323.503,320.3926560991294,325.1439,319.6754515052409,326.27313,329.957321277949,328.74866,337.5597316163674,331.23453,356.8646896871544,331.71884,362.52350162065983,333.17963,366.8128305237799,332.82385,359.9926946614043,333.0768,359.48721403092253,334.2129,357.5189092066583,335.68372,359.56720892332993,337.03134,356.18302481782683,340.21344,355.8804943201585,343.56607,360.63203558759136,347.46075,361.4264562472276,350.0542
2026-04-27 03:51:00,367.76246622004624,364.32675,372.0070403717514,366.23456,376.81139570407095,366.10327,375.4484273898597,366.53714,377.1509861984518,367.80597,362.4237518972482,368.62354,338.792697281161,367.85165,336.60989824571476,368.91687,330.2937530504889,368.3901,323.06930375110375,366.1415,319.1902433455994,366.22656,322.6933148943203,366.09174,324.5328856896503,365.94342,329.47627412431433,365.19836,333.81009759589983,361.5264,333.1845902925025,359.825,320.22070304921476,356.1085,300.54563111060247,353.38467,294.1314594780469,353.02567,277.71916108597884,351.9631,261.5107934625131,348.9904,263.5501300726478,347.87183,266.6932972980862,346.48383,266.15659342493683,343.21045,264.9296958139227,339.23727,266.67656861606775,335.52765,264.02662288390485,331.45764,266.39494087911703,325.84818,265.31648934392825,320.4307,266.49289708669653,315.62006,266.0660303852583,313.1987,263.6789669596232,311.5581,262.4561576526279,309.9915,263.53162409135865,307.88748,270.76456252756157,309.06104,277.9166877655005,310.1888,286.6489396160105,310.5036,289.9547740410298,309.86792,297.31902939816086,311.40604,316.89505268059247,311.94632,315.25147194274996,315.3401,325.94435642469233,317.422,337.34387235353876,319.89413,330.4302885813018,319.10498,333.6917790692951,320.1282,334.06504229841204,321.34872,331.41711778655963,322.51453,326.4716374509367,323.83313,324.99433577801466,326.80264,320.3926560991294,329.62088,319.6754515052409,330.8454,329.957321277949,332.95166,337.5597316163674,335.81174,356.8646896871544,336.20782,362.52350162065983,338.03372,366.8128305237799,338.6751,359.9926946614043,339.55734,359.48721403092253,340.75027,357.5189092066583,342.56973,359.56720892332993,344.23615,356.18302481782683,346.94543,355.8804943201585,349.20825,360.63203558759136,350.38443,361.4264562472276,352.20267,361.08193933110806,353.65427
2026-04-27 04:14:00,372.0070403717514,368.42743,376.81139570407095,369.5175,375.4484273898597,369.3945,377.1509861984518,369.57724,362.4237518972482,369.75223,338.792697281161,368.835,336.60989824571476,367.75522,330.2937530504889,368.3563,323.06930375110375,366.15076,319.1902433455994,363.70966,322.6933148943203,364.42828,324.5328856896503,364.2298,329.47627412431433,363.84262,333.81009759589983,362.81827,333.1845902925025,358.26126,320.22070304921476,355.05884,300.54563111060247,353.9062,294.1314594780469,351.73343,277.71916108597884,349.46643,261.5107934625131,345.8165,263.5501300726478,345.78128,266.6932972980862,343.69666,266.15659342493683,341.76764,264.9296958139227,339.89294,266.67656861606775,335.60504,264.02662288390485,332.65268,266.39494087911703,329.06888,265.31648934392825,323.23456,266.49289708669653,317.85144,266.0660303852583,313.19812,263.6789669596232,310.88647,262.4561576526279,309.85077,263.53162409135865,306.34088,270.76456252756157,305.7776,277.9166877655005,307.48706,286.6489396160105,308.81888,289.9547740410298,307.8461,297.31902939816086,308.2166,316.89505268059247,309.56165,315.25147194274996,311.1164,325.94435642469233,314.6349,337.34387235353876,316.4628,330.4302885813018,317.80698,333.6917790692951,318.65247,334.06504229841204,320.13293,331.41711778655963,321.62445,326.4716374509367,324.98312,324.99433577801466,326.63864,320.3926560991294,328.74832,319.6754515052409,330.6533,329.957321277949,332.53683,337.5597316163674,335.35477,356.8646896871544,337.65933,362.52350162065983,337.78665,366.8128305237799,340.70444,359.9926946614043,341.41183,359.48721403092253,342.16727,357.5189092066583,344.07144,359.56720892332993,344.74658,356.18302481782683,346.49747,355.8804943201585,349.28052,360.63203558759136,351.39758,361.4264562472276,352.91336,361.08193933110806,354.70795,361.70954702466656,355.93567
