timestamp,carbon_intensity,coal,gas,nuclear,solar,unknown,wind,hydro
2026-05-21T12:15:00,398.49628211511964,19811.09,89364.29000000001,11547.45,42722.270000000004,151.1,10779.5,0.0
2026-05-21T12:30:00,400.203038456244,19920.96,90276.27,11553.57,41823.88,151.0,11340.19,0.0
2026-05-21T12:45:00,397.601920303169,20163.239999999998,91098.18,11548.1,43080.14,150.8,11974.54,41.0
2026-05-21T13:00:00,395.37668380306445,20431.95,91236.72,11548.44,43814.22,150.9,12756.029999999999,138.0
2026-05-21T13:15:00,392.0224160934816,20573.39,91304.61,11546.1,45004.66,151.3,13492.810000000001,137.0
2026-05-21T13:30:00,392.9892693616226,20848.55,91267.4,11546.27,44292.770000000004,151.4,14227.46,139.0
2026-05-21T13:45:00,387.9967404368023,20926.59,90968.72,11546.29,45017.4,150.8,16003.869999999999,137.0
2026-05-21T14:00:00,379.16750965247934,20822.16,89656.18,11541.43,48231.3,150.7,16670.14,135.0
2026-05-21T14:15:00,369.1741469571826,20156.44,88385.05,11544.279999999999,50659.31,151.2,17652.03,135.0
2026-05-21T14:30:00,362.01719137958,19414.68,87188.28,11545.85,51515.11,150.8,18553.9,135.0
2026-05-21T14:45:00,350.705451818616,18460.0,85373.61,11542.92,52795.05,151.2,20559.18,151.0
2026-05-21T15:00:00,336.50155074186,17008.02,83087.09,11546.11,54491.36,151.2,22422.38,174.0
2026-05-21T15:15:00,322.01374157522145,15633.630000000001,79957.79000000001,11547.5,55556.28,151.4,24743.449999999997,175.0
2026-05-21T15:30:00,318.8255565548232,14992.579999999998,79256.44,11549.47,53283.409999999996,151.5,26734.86,180.0
2026-05-21T15:45:00,315.2740436076353,14582.630000000001,78349.34,11555.23,53508.96,151.3,26984.57,209.0
2026-05-21T16:00:00,317.0338887849482,14339.2,77629.14,11560.04,51064.56,151.3,27075.93,276.0
2026-05-21T16:15:00,316.1130382583471,14184.56,77543.55,11559.14,51754.38,151.1,26507.72,273.0
2026-05-21T16:30:00,318.47950200578043,14317.8,77374.88,11558.04,51711.009999999995,150.6,25383.7,279.0
2026-05-21T16:45:00,323.3196177542482,14344.0,79828.22,11558.529999999999,50953.229999999996,149.9,24829.96,308.0
2026-05-21T17:00:00,324.79536619400966,14343.169999999998,79212.06,11558.51,49152.2,149.9,25183.370000000003,454.34000000000003
2026-05-21T17:15:00,338.37286575816273,14973.0,83193.45,11555.7,45647.31,149.7,24597.85,546.13
2026-05-21T17:30:00,353.5537066376384,16163.86,85410.42,11556.62,42502.95,150.2,23278.38,581.28
2026-05-21T17:45:00,365.71407961117774,17430.87,87229.04,11558.07,40640.25,149.8,22391.11,546.51
2026-05-21T18:00:00,374.0977370574715,18692.39,86860.3,11555.31,38047.58,149.6,23184.84,548.38
2026-05-21T18:15:00,384.88850454864996,19738.21,88190.2,11555.81,34732.64,150.1,23714.49,552.59
2026-05-21T18:30:00,397.67395649535615,20671.52,89856.45,11554.59,30153.829999999998,149.9,24442.75,576.39
2026-05-21T18:45:00,411.5002494148342,21291.36,91880.48999999999,11550.45,25256.12,149.4,24641.46,587.46
2026-05-21T19:00:00,419.0382014699575,21081.18,92871.7,11551.960000000001,20334.79,149.2,26010.309999999998,585.1700000000001
2026-05-21T19:15:00,431.3838991121324,21120.47,94689.89,11551.470000000001,15352.900000000001,149.0,26176.97,582.04
2026-05-21T19:30:00,450.426816615018,21443.25,96851.92,11554.69,9435.220000000001,149.8,25340.33,593.3199999999999
2026-05-21T19:45:00,469.5765009693816,21613.09,98738.03,11550.92,4657.16,149.5,23473.59,594.38
2026-05-21T20:00:00,480.97621580261585,21630.300000000003,99696.43,11554.47,1795.46,149.2,22433.42,586.26
2026-05-21T20:15:00,486.11570132402585,21557.81,99874.7,11552.56,435.82,150.0,21954.25,586.25
2026-05-21T20:30:00,487.4346761650333,21599.81,99718.57999999999,11547.17,54.39,150.0,21942.47,589.01
2026-05-21T20:45:00,486.3369752230169,21558.260000000002,99526.69,11551.630000000001,6.1,149.7,22286.18,580.85
2026-05-21T21:00:00,483.3731175370487,21353.190000000002,97904.26,11548.42,3.98,149.6,22896.12,574.75
2026-05-21T21:15:00,481.64515688615234,21085.239999999998,97368.16,11549.23,3.71,149.8,23044.46,593.41
2026-05-21T21:30:00,481.73431790521886,20987.690000000002,96642.2,11551.85,3.79,149.9,22839.12,586.79
2026-05-21T21:45:00,481.58707289916293,20882.190000000002,97092.29000000001,11548.28,3.8899999999999997,149.8,22772.88,590.24
2026-05-21T22:00:00,480.03353102147065,20948.96,98061.97,11546.52,2.86,149.9,23636.67,389.20000000000005
2026-05-21T22:15:00,477.3843717303512,21251.670000000002,98093.01000000001,11548.17,0.42000000000000004,149.7,24935.870000000003,390.47
2026-05-21T22:30:00,474.99452833162894,20963.98,97763.32,11552.4,0.5700000000000001,149.8,25311.86,386.96000000000004
2026-05-21T22:45:00,473.5329638071432,20850.79,96375.49,11551.42,0.42000000000000004,149.6,25532.22,385.82
2026-05-21T23:00:00,472.7389324528197,21084.64,95688.84,11553.41,0.44,149.7,26117.34,333.90999999999997
2026-05-21T23:15:00,470.6147303601809,21111.93,94204.67,11555.369999999999,0.44,149.9,26757.61,310.0
2026-05-21T23:30:00,465.33570427060073,20638.42,91759.26,11556.27,0.49,149.5,27606.6,311.0
2026-05-21T23:45:00,462.2499144833384,20103.43,90487.26000000001,11556.33,0.53,149.4,27724.0,310.0
2026-05-22T00:00:00,455.06524984017693,19463.55,88644.87,11555.05,0.53,149.7,28994.12,272.0
2026-05-22T00:15:00,448.30745232199683,18666.66,87508.26,11557.78,0.66,150.2,29898.54,273.0
2026-05-22T00:30:00,443.19426452321153,17832.93,86317.69,11552.75,0.56,149.5,30156.309999999998,270.0
2026-05-22T00:45:00,436.1911445115936,16839.46,85570.52,11552.24,0.53,149.39999999999998,30829.5,267.0
2026-05-22T01:00:00,431.4002626242788,16286.46,85272.48000000001,11556.74,0.52,149.8,31514.78,267.0
2026-05-22T01:15:00,420.2019423636534,15454.09,84255.95999999999,11556.19,0.55,149.5,33828.47,265.0
2026-05-22T01:30:00,415.85232615037995,15276.2,82114.67,11559.36,0.48,149.9,34563.56,269.0
2026-05-22T01:45:00,416.284144427885,15099.76,81464.8,11556.46,0.5900000000000001,150.1,33954.49,266.0
2026-05-22T02:00:00,415.5045813734819,14980.6,80561.06,11554.43,3.84,150.3,33928.729999999996,137.0
2026-05-22T02:15:00,419.37084234625013,15000.73,80629.09,11550.45,0.5700000000000001,149.8,32647.43,137.0
2026-05-22T02:30:00,419.8991756661201,14991.17,81232.95,11550.45,4.050000000000001,149.8,32581.24,139.0
2026-05-22T02:45:00,417.31203769252375,14934.1,79958.89,11552.63,0.85,149.8,33084.07,135.0
2026-05-22T03:00:00,415.74506323595045,14883.84,78137.73,11548.79,0.75,149.8,33106.130000000005,136.0
2026-05-22T03:15:00,415.7028355598398,14917.69,78348.79,11558.93,0.49,149.4,33221.3,135.0
2026-05-22T03:30:00,418.4337466860398,14813.16,77683.43,11557.51,0.55,149.4,31962.75,134.0
