Start Time,Original Emission (g),Emission (6h) (g),Emission (12h) (g),Emission (24h) (g)
2026-04-23 00:10:00,105.87454721011274,104.34001791513275,104.34001791513275,104.34001791513275
2026-04-23 00:25:00,105.74771395408361,104.34001791513275,93.86136395418389,95.24915279104572
2026-04-23 00:40:00,105.83728314960686,104.68804333206909,96.16824454374876,96.16824454374876
2026-04-23 00:55:00,106.10412609668387,104.68804333206909,104.68804333206909,104.68804333206909
2026-04-23 01:10:00,105.98066090037179,104.463196618663,93.88063388721989,93.88063388721989
2026-04-23 01:25:00,105.28701603365323,106.39926231938395,95.24915279104572,95.24915279104572
2026-04-23 01:40:00,104.73514569743585,105.99605700790332,95.24915279104572,95.24915279104572
2026-04-23 01:55:00,104.56755048105312,105.81457135287495,93.88063388721989,93.88063388721989
2026-04-23 02:10:00,104.68804333206909,104.463196618663,95.24915279104572,95.24915279104572
2026-04-23 02:25:00,104.34001791513275,109.05281136063172,93.88063388721989,93.88063388721989
2026-04-23 02:40:00,104.17439010026537,104.463196618663,96.84191248096722,103.51637360226029
2026-04-23 02:55:00,104.463196618663,105.99605700790332,93.88063388721989,103.24540134089742
2026-04-23 03:10:00,105.44770723053051,105.99605700790332,94.8329993803218,102.90662203096736
2026-04-23 03:25:00,106.14514373630297,105.99605700790332,93.86136395418389,93.86136395418389
2026-04-23 03:40:00,106.29832556698295,101.70742033427223,93.88063388721989,102.11363329765408
2026-04-23 03:55:00,105.99605700790332,100.41806589588862,95.24915279104572,101.3108709514806
2026-04-23 04:10:00,105.81457135287495,101.70742033427223,93.88063388721989,102.11363329765408
2026-04-23 04:25:00,106.05289375491587,99.018906845251,93.86136395418389,99.2688576532644
2026-04-23 04:40:00,106.39926231938395,98.68660498206528,93.88063388721989,97.70737288712314
2026-04-23 04:55:00,106.72125434043409,98.4863240606747,95.93936748924594,96.02192786051525
2026-04-23 05:10:00,107.1947719272104,98.11569681548383,95.24915279104572,100.26481712505455
2026-04-23 05:25:00,107.68501862604171,97.63746320099737,95.24915279104572,96.02192786051525
2026-04-23 05:40:00,107.8374951718894,107.8374951718894,96.78182501573775,100.26481712505455
2026-04-23 05:55:00,107.18943836890175,96.16824454374876,93.88063388721989,101.3108709514806
2026-04-23 06:06:00,107.00492367482927,94.8329993803218,96.42397534070211,101.3108709514806
2026-04-23 06:20:00,107.46578214843338,107.46578214843338,107.46578214843338,100.26481712505455
2026-04-23 06:35:00,108.42738015427636,98.11569681548383,98.11569681548383,99.2688576532644
2026-04-23 06:50:00,109.02544751842102,97.63746320099737,97.63746320099737,96.02192786051525
2026-04-23 07:05:00,109.05281136063172,109.05281136063172,109.05281136063172,101.3108709514806
2026-04-23 07:20:00,108.77865573930858,93.88063388721989,93.88063388721989,96.02192786051525
2026-04-23 07:35:00,108.29068842033021,96.84191248096722,96.84191248096722,97.70737288712314
2026-04-23 07:50:00,107.37311606625045,96.16824454374876,96.16824454374876,101.3108709514806
2026-04-23 08:05:00,105.74621100940632,96.16824454374876,96.16824454374876,101.3108709514806
2026-04-23 08:20:00,103.60494371114757,97.63746320099737,97.63746320099737,102.11363329765408
2026-04-23 08:35:00,103.12370737797832,96.84191248096722,96.84191248096722,100.26481712505455
2026-04-23 08:50:00,103.6728019096356,93.88063388721989,93.88063388721989,99.2688576532644
2026-04-23 09:05:00,104.27376028862915,97.63746320099737,97.63746320099737,102.63205973971414
2026-04-23 09:20:00,103.1997472391505,96.16824454374876,96.16824454374876,102.63205973971414
2026-04-23 09:35:00,101.70742033427223,94.8329993803218,94.8329993803218,101.3108709514806
2026-04-23 09:50:00,100.41806589588862,97.63746320099737,97.63746320099737,102.11363329765408
2026-04-23 10:05:00,99.67456385233731,97.63746320099737,97.63746320099737,101.3108709514806
2026-04-23 10:20:00,99.018906845251,98.11569681548383,98.11569681548383,100.26481712505455
2026-04-23 10:35:00,98.68660498206528,94.8329993803218,94.8329993803218,100.26481712505455
2026-04-23 10:50:00,98.4863240606747,96.84191248096722,96.84191248096722,100.26481712505455
2026-04-23 11:05:00,98.11569681548383,96.16824454374876,96.16824454374876,101.3108709514806
2026-04-23 11:20:00,97.63746320099737,96.16824454374876,96.16824454374876,100.26481712505455
2026-04-23 11:35:00,96.84191248096722,96.16824454374876,96.16824454374876,99.2688576532644
2026-04-23 11:50:00,96.16824454374876,94.8329993803218,94.8329993803218,99.2688576532644
2026-04-23 12:05:00,94.8329993803218,94.8329993803218,94.8329993803218,101.3108709514806
2026-04-23 12:20:00,93.86136395418389,93.86136395418389,93.86136395418389,97.45443839063702
2026-04-23 12:35:00,93.88063388721989,93.88063388721989,104.0704129389828,97.04083729957986
2026-04-23 12:50:00,95.24915279104572,95.24915279104572,103.68427869906257,100.26481712505455
2026-04-23 13:05:00,96.68973197781885,96.68973197781885,103.56569381710612,100.26481712505455
2026-04-23 13:20:00,97.3372715807546,97.3372715807546,103.49573727644857,100.26481712505455
2026-04-23 13:35:00,97.47099713743351,97.47099713743351,103.59918679753635,100.26481712505455
2026-04-23 13:50:00,97.26678604949443,97.26678604949443,103.51637360226029,100.26481712505455
2026-04-23 14:05:00,97.10307572507585,97.10307572507585,103.24540134089742,100.26481712505455
2026-04-23 14:20:00,96.9872113442567,96.9872113442567,102.90662203096736,96.65001277485608
2026-04-23 14:35:00,96.93392522494152,96.93392522494152,102.63205973971414,100.26481712505455
2026-04-23 14:50:00,96.84193787820793,96.84193787820793,102.11363329765408,96.65001277485608
2026-04-23 15:05:00,96.54707240855242,96.54707240855242,101.3108709514806,100.26481712505455
2026-04-23 15:20:00,96.42397534070211,96.42397534070211,101.3108709514806,94.58440865592463
2026-04-23 15:35:00,96.32408124259517,96.32408124259517,102.11363329765408,102.11363329765408
2026-04-23 15:50:00,95.93936748924594,95.93936748924594,103.24540134089742,103.24540134089742
2026-04-23 16:05:00,96.00893849973158,96.00893849973158,100.26481712505455,100.26481712505455
2026-04-23 16:20:00,96.78182501573775,96.78182501573775,103.24540134089742,103.24540134089742
2026-04-23 16:32:00,98.78322819350694,98.78322819350694,102.11363329765408,102.11363329765408
2026-04-23 16:40:00,100.22950282083092,100.22950282083092,101.3108709514806,101.3108709514806
2026-04-23 16:55:00,101.29836834690931,101.29836834690931,101.3108709514806,94.6774276083292
2026-04-23 17:10:00,102.2522141510444,104.33672205548083,101.3108709514806,94.58440865592463
2026-04-23 17:25:00,103.48312255340727,104.25180715531941,102.11363329765408,102.11363329765408
2026-04-23 17:40:00,104.37188000847706,104.05361335093004,101.3108709514806,101.3108709514806
2026-04-23 17:55:00,104.74286610722805,104.2201915824408,102.63205973971414,102.63205973971414
2026-04-23 18:10:00,104.76579962839142,104.162611508682,102.11363329765408,102.11363329765408
2026-04-23 18:25:00,104.8836801821521,104.0704129389828,102.11363329765408,96.82646455502866
